ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp
2026-08-05T00:00:09Z,0,0,0,0,0,0,13.6,851.7,13.9,14,83.6,260,253,0,0,208,0,0,13.8,12.2,9.6
2026-08-05T00:15:31Z,0,0,0,0,0,0,13.2,851.7,13.6,13.6,85.2,261,252,0,0,208,0,0,13.4,12,9.2
2026-08-05T00:30:39Z,0,0,0,0,0,0,13,851.7,13.2,13.4,86.7,260,252,0,0,208,0,0,13.2,11.9,9
2026-08-05T00:45:39Z,0,0,0,0,0,0,12.8,851.9,13,13.2,86.7,260,253,0,0,208,0,0,13.1,11.8,8.8
2026-08-05T01:00:47Z,0,0,0,0,0,0,12.7,852,13,13.2,87.5,262,254,0,0,209,0.2,0.2,13,11.8,8.7
2026-08-05T01:15:55Z,0,0,0,0,0,0,12.5,851.9,12.9,13,87.5,260,253,0,0,208,0,0,12.9,11.6,8.6
2026-08-05T01:31:04Z,0,0,0,0,0,0,12.3,851.9,12.6,12.8,88.8,261,254,0,0,208,0,0,12.6,11.5,8.4
2026-08-05T01:46:12Z,0,0,0,0,0,0,11.9,852,12.1,12.3,89.4,259,253,0,0,208,0,0,12.1,11.1,7.8
2026-08-05T02:01:35Z,0,0,0,0,0,0,11.6,852.3,11.8,11.9,90.9,260,254,0,0,208,0,0,11.8,10.9,7.4
2026-08-05T02:16:43Z,0,0,0,0,0,0,11.4,852.6,11.6,11.8,92,260,253,0,0,208,0,0,11.6,10.9,7.3
2026-08-05T02:31:52Z,0,0,0,0,0,0,11.2,852.7,11.5,11.7,92.6,262,253,0,0,208,0,0,11.5,10.9,7.2
2026-08-05T02:47:00Z,0,0,0,0,0,0,11,852.8,11.3,11.5,93.1,261,251,0,0,208,0,0,11.3,10.7,7
2026-08-05T03:02:09Z,0,0,0,0,0,0,10.9,853,11.2,11.4,93.5,261,253,0,0,208,0,0,11.2,10.6,6.8
2026-08-05T03:17:17Z,0,0,0,0,0,0,10.9,852.9,11.2,11.4,93.9,259,253,0,0,208,0,0,11.2,10.7,6.9
2026-08-05T03:32:39Z,0,0,0,0,0,0,10.9,853,11.2,11.4,94.1,261,271,0,0,208,0,0,11.2,10.7,6.9
2026-08-05T03:47:48Z,0,0,0,0.1,0,0,10.8,853.1,11.1,11.3,94,269,345,0,0,208,0,0,11.1,10.6,6.7
2026-08-05T04:02:56Z,0,0,0,0.1,0,0,11,853.1,11.3,11.4,94.3,280,456,0,0,209,0.2,0.2,11.3,10.8,6.9
2026-08-05T04:18:05Z,0,0,0,0.2,0,0,11.5,853.4,11.9,11.9,94.5,293,556,0,0,208,0,0,11.7,11.2,7.4
2026-08-05T04:33:14Z,0,0,0,0.3,0,0,12.1,853.5,12.6,12.6,93.4,308,730,0,0,208,0,0,12.4,11.8,8.2
